0,2950,1
2,2950,1
3,2950,1
1,2956,2
3,2956,2
1,2956,3
3,2960,0
1,2960,0
0,2964,1
2,2964,1
3,2964,1
1,2972,2
3,2972,2
0,2972,3
1,2972,3
3,2975,0
1,2975,0
2,2979,1
3,2979,1
1,2986,2
3,2986,2
0,2986,3
2,2986,3
3,2990,0
1,2990,0
0,2994,1
3,2994,1
1,3001,2
2,3001,3
3,3005,0
1,3005,0
3,3009,1
1,3016,2
3,3016,2
0,3016,3
2,3016,3
1,3021,0
2,3025,1
3,3025,1
1,3031,2
3,3031,2
1,3035,0
2,3039,1
1,3047,2
2,3047,3
1,3050,0
0,3054,1
2,3054,1
3,3054,1
1,3061,2
3,3061,2
1,3061,3
2,3061,3
0,3070,1
3,3070,1
1,3076,2
3,3076,2
1,3076,3
2,3076,3
0,3084,1
2,3084,1
3,3084,1
1,3092,2
3,3092,2
1,3092,3
2,3092,3
1,3096,0
0,3099,1
3,3099,1
1,3106,2
3,3106,2
1,3106,3
2,3106,3
1,3110,0
0,3114,1
2,3114,1
3,3114,1
1,3121,2
3,3121,2
1,3121,3
2,3121,3
1,3125,0
0,3129,1
2,3129,1
3,3129,1
1,3136,2
1,3136,3
2,3136,3
0,3145,1
2,3145,1
1,3151,2
3,3151,2
2,3151,3
1,3155,0
0,3159,1
2,3159,1
3,3159,1
1,3167,3
2,3167,3
1,3171,0
0,3174,1
2,3174,1
1,3181,2
1,3181,3
2,3181,3
1,3185,0
2,3189,1
3,3189,1
1,3196,2
1,3196,3
2,3196,3
1,3200,0
0,3204,1
2,3204,1
1,3211,2
1,3211,3
2,3211,3
0,3220,1
2,3220,1
3,3220,1
1,3226,2
3,3226,2
1,3226,3
2,3226,3
1,3230,0
0,3234,1
2,3234,1
3,3234,1
1,3242,2
3,3242,2
1,3242,3
2,3242,3
1,3245,0
2,3249,1
3,3249,1
1,3256,2
3,3256,2
2,3256,3
3,3264,1
1,3271,2
1,3271,3
2,3271,3
1,3275,0
2,3279,1
3,3279,1
1,3287,2
3,3287,2
1,3287,3
2,3287,3
1,3291,0
0,3295,1
3,3301,2
1,3301,3
2,3301,3
1,3305,0
0,3309,1
2,3309,1
3,3309,1
1,3316,2
3,3316,2
1,3316,3
1,3320,0
0,3324,1
3,3324,1
1,3331,2
3,3331,2
2,3331,3
1,3335,0
0,3340,1
2,3340,1
3,3340,1
1,3346,2
3,3346,2
1,3346,3
1,3350,0
2,3354,1
3,3354,1
3,3362,2
1,3362,3
2,3362,3
1,3366,0
2,3369,1
3,3369,1
1,3376,2
3,3376,2
1,3376,3
2,3376,3
1,3380,0
0,3384,1
2,3384,1
3,3384,1
1,3391,2
3,3391,2
1,3391,3
2,3391,3
1,3395,0
0,3399,1
2,3399,1
1,3406,2
3,3406,2
1,3406,3
2,3406,3
0,3415,1
2,3415,1
3,3415,1
1,3421,2
1,3421,3
2,3421,3
1,3425,0
3,3429,1
1,3437,2
3,3437,2
2,3437,3
0,3444,1
2,3444,1
1,3451,2
1,3451,3
2,3451,3
1,3455,0
2,3459,1
3,3459,1
1,3466,2
3,3466,2
1,3466,3
2,3466,3
1,3470,0
